1.5422,1.2428
1.5426,2.7421
1.543,3.2412
1.5434,3.7402
1.5438,4.239
1.5442,4.7515
1.5446,5.2777
1.545,5.8176
1.5455,6.3712
1.5459,6.9384
1.5464,7.5192
1.5469,8.1137
1.5474,8.7218
1.5479,9.3435
1.5484,9.9788
1.5489,10.6278
1.5494,11.2903
1.5499,11.9664
1.5724,12.6434
1.6117,13.3209
1.6749,13.9983
1.7618,14.6751
1.8275,15.368
1.8797,16.0716
1.9602,16.7856
2.0164,17.5156
2.1004,18.2565
2.1597,19.0134
2.2457,19.7813
2.3084,20.5649
2.396,21.3598
2.4621,22.1702
2.5514,22.9919
2.621,23.8289
2.7119,24.6775
2.7851,25.5412
2.8776,26.4165
2.9542,27.3068
3.0483,28.2088
3.1284,29.1256
3.2241,30.0543
3.3409,30.9814
3.4794,31.9065
3.6433,32.8286
3.7837,33.7683
3.927,34.7186
4.0906,35.6789
4.2466,36.654
4.415,37.6405
4.5765,38.6415
4.7483,39.6543
4.9151,40.6813
5.0904,41.7202
5.2622,42.7731
5.441,43.8382
5.6179,44.917
5.8004,46.0081
5.9821,47.1126
6.1684,48.2297
6.3548,49.36
6.545,50.5029
6.736,51.6589
6.9302,52.8276
7.1257,54.0092
7.3239,55.2036
7.5238,56.4108
7.7261,57.6308
7.9304,58.8636
8.1369,60.1091
8.3454,61.3673
8.5561,62.6382
8.7688,63.9218
8.9837,65.2181
9.2006,66.527
9.4197,67.8486
9.6408,69.1828
9.864,70.5295
10.1145,71.8713
10.3907,73.2079
10.6942,74.5385
11.0275,75.8621
11.392,77.1774
11.7883,78.4833
12.2166,79.778
12.6723,81.0481
13.1551,82.2929
13.6642,83.5115
14.199,84.7035
14.7199,85.9008
15.2683,87.0836
15.8309,88.2584
16.4011,89.4282
16.9747,90.5953
17.549,91.7609
18.1234,92.9254
18.6973,94.089
19.2709,95.2516
19.8441,96.4134
20.4168,97.5743
20.9891,98.7343
21.5609,99.8934
22.1384,101.064
22.7217,102.2462
23.3292,103.4159
23.9593,104.5737
24.6136,105.7181
25.249,106.8883
25.9056,108.0601
26.5795,109.2366
27.2583,110.409
27.939,111.579
28.62,112.7476
29.3008,113.9151
29.9811,115.0816
30.6609,116.2472
31.3643,117.3985
32.0897,118.536
32.8385,119.6582
33.6125,120.7634
34.4126,121.8499
35.2391,122.9163
36.0915,123.961
36.9685,124.9819
37.8617,125.9696
38.7702,126.9235
39.693,127.8433
40.6294,128.7288
41.5783,129.5798
42.5386,130.3964
43.5199,131.187
44.5215,131.9517
45.5316,132.6819
46.5492,133.3776
47.5736,134.0384
48.6039,134.6642
49.6391,135.2549
50.6785,135.8102
51.7209,136.3301
52.7656,136.8145
