
Env Name:                     HalfCheetah-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  mppi
Num samples                   50
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:       706.01 :     250:         2.82 :   30.68
Trial    2:       738.59 :     250:         2.95 :   29.60
Trial    3:       673.72 :     250:         2.69 :   30.48
Trial    4:       823.49 :     250:         3.29 :   29.32
Trial    5:       859.48 :     250:         3.44 :   28.80
Trial    6:      1014.43 :     250:         4.06 :   31.32
Trial    7:       694.08 :     250:         2.78 :   30.60
Trial    8:       995.79 :     250:         3.98 :   29.30
Trial    9:       831.71 :     250:         3.33 :   29.77
Trial   10:       817.43 :     250:         3.27 :   30.65
-----------------------------------
Trials AVE:       815.47 :  250.00:         3.26 :   30.05
Trials STD:       118.83 :    0.00:         0.48 :    0.80
Trials MED:       820.46 :  250.00:         3.28 :   30.12
Trials L95:       694.08 :  250.00:         2.78 :   29.30
Trials U95:       995.79 :  250.00:         3.98 :   30.68
Trials MIN:       673.72 :  250.00:         2.69 :   28.80
Trials MAX:      1014.43 :  250.00:         4.06 :   31.32
