
Env Name:                     HalfCheetah-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  cemppi
Num samples                   150
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
# AIS Iterations:             10
CE Elite Threshold:           0.80
CE Σ Est Method:              ss
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:      3474.32 :     250:        13.90 :  508.51
Trial    2:      4038.44 :     250:        16.15 :  501.65
Trial    3:      3693.56 :     250:        14.77 :  502.56
Trial    4:      3905.64 :     250:        15.62 :  495.70
Trial    5:      4123.73 :     250:        16.49 :  493.24
Trial    6:      3808.48 :     250:        15.23 :  497.74
Trial    7:      3885.11 :     250:        15.54 :  490.96
Trial    8:      3684.24 :     250:        14.74 :  486.69
Trial    9:      3925.41 :     250:        15.70 :  489.81
Trial   10:      3439.41 :     250:        13.76 :  493.07
-----------------------------------
Trials AVE:      3797.83 :  250.00:        15.19 :  495.99
Trials STD:       225.25 :    0.00:         0.90 :    6.68
Trials MED:      3846.79 :  250.00:        15.39 :  494.47
Trials L95:      3474.32 :  250.00:        13.90 :  489.81
Trials U95:      4038.44 :  250.00:        16.15 :  502.56
Trials MIN:      3439.41 :  250.00:        13.76 :  486.69
Trials MAX:      4123.73 :  250.00:        16.49 :  508.51
