
Env Name:                     HalfCheetah-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  mppi
Num samples                   150
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:       983.24 :     250:         3.93 :   45.92
Trial    2:      1410.51 :     250:         5.64 :   46.66
Trial    3:      1246.19 :     250:         4.98 :   46.09
Trial    4:      1370.05 :     250:         5.48 :   46.49
Trial    5:      1518.27 :     250:         6.07 :   45.55
Trial    6:      1730.82 :     250:         6.92 :   46.34
Trial    7:      1692.49 :     250:         6.77 :   46.46
Trial    8:      1104.06 :     250:         4.42 :   46.44
Trial    9:      1162.17 :     250:         4.65 :   47.59
Trial   10:      1312.69 :     250:         5.25 :   46.80
-----------------------------------
Trials AVE:      1353.05 :  250.00:         5.41 :   46.43
Trials STD:       244.28 :    0.00:         0.98 :    0.55
Trials MED:      1341.37 :  250.00:         5.37 :   46.45
Trials L95:      1104.06 :  250.00:         4.42 :   45.92
Trials U95:      1692.49 :  250.00:         6.77 :   46.80
Trials MIN:       983.24 :  250.00:         3.93 :   45.55
Trials MAX:      1730.82 :  250.00:         6.92 :   47.59
