
Env Name:                     Ant-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  mppi
Num samples                   1500
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:      2164.74 :     250:         8.66 :  476.08
Trial    2:      1929.84 :     250:         7.72 :  475.17
Trial    3:      1756.56 :     250:         7.03 :  476.26
Trial    4:      1929.85 :     250:         7.72 :  479.57
Trial    5:      2295.40 :     250:         9.18 :  473.04
Trial    6:      1968.20 :     250:         7.87 :  475.51
Trial    7:      2019.12 :     250:         8.08 :  472.82
Trial    8:      1524.75 :     250:         6.10 :  474.86
Trial    9:      1867.55 :     250:         7.47 :  475.20
Trial   10:      2004.04 :     250:         8.02 :  475.45
-----------------------------------
Trials AVE:      1946.01 :  250.00:         7.78 :  475.40
Trials STD:       210.59 :    0.00:         0.84 :    1.86
Trials MED:      1949.03 :  250.00:         7.80 :  475.32
Trials L95:      1756.56 :  250.00:         7.03 :  473.04
Trials U95:      2164.74 :  250.00:         8.66 :  476.26
Trials MIN:      1524.75 :  250.00:         6.10 :  472.82
Trials MAX:      2295.40 :  250.00:         9.18 :  479.57
