
Env Name:                     HalfCheetah-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  mppi
Num samples                   3000
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:      2234.25 :     250:         8.94 :  363.44
Trial    2:      2492.63 :     250:         9.97 :  342.54
Trial    3:      2371.10 :     250:         9.48 :  326.85
Trial    4:      2625.87 :     250:        10.50 :  326.50
Trial    5:      2204.94 :     250:         8.82 :  325.86
Trial    6:      2277.49 :     250:         9.11 :  327.30
Trial    7:      2410.56 :     250:         9.64 :  327.69
Trial    8:      2450.59 :     250:         9.80 :  328.89
Trial    9:      2629.15 :     250:        10.52 :  329.94
Trial   10:      2705.22 :     250:        10.82 :  329.07
-----------------------------------
Trials AVE:      2440.18 :  250.00:         9.76 :  332.81
Trials STD:       174.22 :    0.00:         0.70 :   11.79
Trials MED:      2430.57 :  250.00:         9.72 :  328.29
Trials L95:      2234.25 :  250.00:         8.94 :  326.50
Trials U95:      2629.15 :  250.00:        10.52 :  342.54
Trials MIN:      2204.94 :  250.00:         8.82 :  325.86
Trials MAX:      2705.22 :  250.00:        10.82 :  363.44
