
Env Name:                     Ant-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  cemppi
Num samples                   187
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
# AIS Iterations:             8
CE Elite Threshold:           0.80
CE Σ Est Method:              ss
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:      2056.59 :     250:         8.23 : 1238.43
Trial    2:      2017.38 :     250:         8.07 : 1247.62
Trial    3:      2115.14 :     250:         8.46 : 1236.52
Trial    4:      2212.49 :     250:         8.85 : 1240.19
Trial    5:      2402.17 :     250:         9.61 : 1235.04
Trial    6:      2283.77 :     250:         9.14 : 1245.22
Trial    7:      2208.10 :     250:         8.83 : 1242.24
Trial    8:      2033.16 :     250:         8.13 : 1237.15
Trial    9:      2395.65 :     250:         9.58 : 1238.85
Trial   10:      2231.13 :     250:         8.92 : 1238.82
-----------------------------------
Trials AVE:      2195.56 :  250.00:         8.78 : 1240.01
Trials STD:       139.89 :    0.00:         0.56 :    3.95
Trials MED:      2210.29 :  250.00:         8.84 : 1238.84
Trials L95:      2033.16 :  250.00:         8.13 : 1236.52
Trials U95:      2395.65 :  250.00:         9.58 : 1245.22
Trials MIN:      2017.38 :  250.00:         8.07 : 1235.04
Trials MAX:      2402.17 :  250.00:         9.61 : 1247.62
