
Env Name:                     Ant-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  cemppi
Num samples                   100
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
# AIS Iterations:             10
CE Elite Threshold:           0.80
CE Σ Est Method:              ss
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:      2308.77 :     250:         9.24 :  900.57
Trial    2:      2383.46 :     250:         9.53 :  900.20
Trial    3:      2059.65 :     250:         8.24 :  908.80
Trial    4:      2049.16 :     250:         8.20 :  899.62
Trial    5:      2119.11 :     250:         8.48 :  902.02
Trial    6:      2138.51 :     250:         8.55 :  903.38
Trial    7:      2236.57 :     250:         8.95 :  908.72
Trial    8:      2082.22 :     250:         8.33 :  898.61
Trial    9:      2158.26 :     250:         8.63 :  905.71
Trial   10:      2079.22 :     250:         8.32 :  897.47
-----------------------------------
Trials AVE:      2161.49 :  250.00:         8.65 :  902.51
Trials STD:       113.03 :    0.00:         0.45 :    4.05
Trials MED:      2128.81 :  250.00:         8.52 :  901.30
Trials L95:      2059.65 :  250.00:         8.24 :  898.61
Trials U95:      2308.77 :  250.00:         9.24 :  908.72
Trials MIN:      2049.16 :  250.00:         8.20 :  897.47
Trials MAX:      2383.46 :  250.00:         9.53 :  908.80
