
Env Name:                     Ant-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  mppi
Num samples                   500
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:      1465.33 :     250:         5.86 :  183.66
Trial    2:      1803.81 :     250:         7.22 :  184.28
Trial    3:      1942.66 :     250:         7.77 :  182.88
Trial    4:      1790.04 :     250:         7.16 :  182.64
Trial    5:      1623.81 :     250:         6.50 :  183.66
Trial    6:      1331.06 :     250:         5.32 :  182.82
Trial    7:      1191.82 :     250:         4.77 :  183.70
Trial    8:      1629.48 :     250:         6.52 :  182.67
Trial    9:      1786.27 :     250:         7.15 :  183.99
Trial   10:      1782.35 :     250:         7.13 :  182.62
-----------------------------------
Trials AVE:      1634.66 :  250.00:         6.54 :  183.29
Trials STD:       237.93 :    0.00:         0.95 :    0.63
Trials MED:      1705.92 :  250.00:         6.82 :  183.27
Trials L95:      1331.06 :  250.00:         5.32 :  182.64
Trials U95:      1803.81 :  250.00:         7.22 :  183.99
Trials MIN:      1191.82 :  250.00:         4.77 :  182.62
Trials MAX:      1942.66 :  250.00:         7.77 :  184.28
