
Env Name:                     HalfCheetah-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  mppi
Num samples                   250
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:      1504.81 :     250:         6.02 :   49.40
Trial    2:      1869.52 :     250:         7.48 :   48.72
Trial    3:      1477.91 :     250:         5.91 :   48.50
Trial    4:       922.86 :     250:         3.69 :   49.44
Trial    5:      1778.70 :     250:         7.11 :   48.71
Trial    6:      1430.14 :     250:         5.72 :   48.91
Trial    7:      2173.11 :     250:         8.69 :   48.37
Trial    8:      1162.89 :     250:         4.65 :   48.65
Trial    9:      1786.53 :     250:         7.15 :   49.25
Trial   10:      1433.13 :     250:         5.73 :   49.14
-----------------------------------
Trials AVE:      1553.96 :  250.00:         6.22 :   48.91
Trials STD:       361.61 :    0.00:         1.45 :    0.38
Trials MED:      1491.36 :  250.00:         5.97 :   48.82
Trials L95:      1162.89 :  250.00:         4.65 :   48.50
Trials U95:      1869.52 :  250.00:         7.48 :   49.40
Trials MIN:       922.86 :  250.00:         3.69 :   48.37
Trials MAX:      2173.11 :  250.00:         8.69 :   49.44
