
Env Name:                     Ant-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  mppi
Num samples                   3000
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:      2139.53 :     250:         8.56 : 1238.75
Trial    2:      1966.25 :     250:         7.87 : 1235.99
Trial    3:      2435.62 :     250:         9.74 : 1228.30
Trial    4:      2132.50 :     250:         8.53 : 1234.59
Trial    5:      2078.92 :     250:         8.32 : 1246.45
Trial    6:      2249.40 :     250:         9.00 : 1232.62
Trial    7:      2157.62 :     250:         8.63 : 1234.34
Trial    8:      2302.52 :     250:         9.21 : 1234.76
Trial    9:      2350.88 :     250:         9.40 : 1233.78
Trial   10:      1984.44 :     250:         7.94 : 1233.61
-----------------------------------
Trials AVE:      2179.77 :  250.00:         8.72 : 1235.32
Trials STD:       153.81 :    0.00:         0.62 :    4.71
Trials MED:      2148.57 :  250.00:         8.59 : 1234.47
Trials L95:      1984.44 :  250.00:         7.94 : 1232.62
Trials U95:      2350.88 :  250.00:         9.40 : 1238.75
Trials MIN:      1966.25 :  250.00:         7.87 : 1228.30
Trials MAX:      2435.62 :  250.00:         9.74 : 1246.45
