
Env Name:                     Ant-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  mppi
Num samples                   250
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:      1539.47 :     250:         6.16 :  193.99
Trial    2:      1500.58 :     250:         6.00 :  192.27
Trial    3:      1298.64 :     250:         5.19 :  193.24
Trial    4:      1252.11 :     250:         5.01 :  193.78
Trial    5:      1604.55 :     250:         6.42 :  191.83
Trial    6:      1179.08 :     250:         4.72 :  194.13
Trial    7:      1436.91 :     250:         5.75 :  193.72
Trial    8:      1594.82 :     250:         6.38 :  192.18
Trial    9:      1521.99 :     250:         6.09 :  194.16
Trial   10:      1510.41 :     250:         6.04 :  192.54
-----------------------------------
Trials AVE:      1443.86 :  250.00:         5.78 :  193.18
Trials STD:       148.89 :    0.00:         0.60 :    0.90
Trials MED:      1505.50 :  250.00:         6.02 :  193.48
Trials L95:      1252.11 :  250.00:         5.01 :  192.18
Trials U95:      1594.82 :  250.00:         6.38 :  194.13
Trials MIN:      1179.08 :  250.00:         4.72 :  191.83
Trials MAX:      1604.55 :  250.00:         6.42 :  194.16
