
Env Name:                     Ant-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  mppi
Num samples                   1000
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:      1894.86 :     250:         7.58 :  654.72
Trial    2:      1513.11 :     250:         6.05 :  657.61
Trial    3:      1922.30 :     250:         7.69 :  654.01
Trial    4:      2068.86 :     250:         8.28 :  658.11
Trial    5:      1943.83 :     250:         7.78 :  660.83
Trial    6:      1654.67 :     250:         6.62 :  653.67
Trial    7:      1875.57 :     250:         7.50 :  655.83
Trial    8:      1776.05 :     250:         7.10 :  659.75
Trial    9:      1711.69 :     250:         6.85 :  655.47
Trial   10:      1778.91 :     250:         7.12 :  656.15
-----------------------------------
Trials AVE:      1813.98 :  250.00:         7.26 :  656.62
Trials STD:       160.87 :    0.00:         0.64 :    2.40
Trials MED:      1827.24 :  250.00:         7.31 :  655.99
Trials L95:      1654.67 :  250.00:         6.62 :  654.01
Trials U95:      1943.83 :  250.00:         7.78 :  659.75
Trials MIN:      1513.11 :  250.00:         6.05 :  653.67
Trials MAX:      2068.86 :  250.00:         8.28 :  660.83
