
Env Name:                     HalfCheetah-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  cemppi
Num samples                   200
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
# AIS Iterations:             15
CE Elite Threshold:           0.80
CE Σ Est Method:              ss
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:      5203.64 :     250:        20.81 :  763.15
Trial    2:      5214.05 :     250:        20.86 :  783.88
Trial    3:      3862.42 :     250:        15.45 :  754.33
Trial    4:      4523.99 :     250:        18.10 :  783.38
Trial    5:      5268.14 :     250:        21.07 :  769.11
Trial    6:      3959.23 :     250:        15.84 :  761.39
Trial    7:      4917.06 :     250:        19.67 :  756.56
Trial    8:      4566.29 :     250:        18.27 :  770.82
Trial    9:      5075.91 :     250:        20.30 :  759.27
Trial   10:      4782.64 :     250:        19.13 :  772.72
-----------------------------------
Trials AVE:      4737.33 :  250.00:        18.95 :  767.46
Trials STD:       507.84 :    0.00:         2.03 :   10.43
Trials MED:      4849.85 :  250.00:        19.40 :  766.13
Trials L95:      3959.23 :  250.00:        15.84 :  756.56
Trials U95:      5214.05 :  250.00:        20.86 :  783.38
Trials MIN:      3862.42 :  250.00:        15.45 :  754.33
Trials MAX:      5268.14 :  250.00:        21.07 :  783.88
