
Env Name:                     HalfCheetah-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  mppi
Num samples                   500
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:      2150.81 :     250:         8.60 :   86.37
Trial    2:      2017.76 :     250:         8.07 :   86.58
Trial    3:      2037.85 :     250:         8.15 :   85.77
Trial    4:      2136.76 :     250:         8.55 :   85.68
Trial    5:      2105.05 :     250:         8.42 :   85.95
Trial    6:      1511.53 :     250:         6.05 :   85.77
Trial    7:      2034.13 :     250:         8.14 :   86.19
Trial    8:      2295.11 :     250:         9.18 :   86.18
Trial    9:      1516.13 :     250:         6.06 :   86.02
Trial   10:      1920.77 :     250:         7.68 :   86.36
-----------------------------------
Trials AVE:      1972.59 :  250.00:         7.89 :   86.09
Trials STD:       261.19 :    0.00:         1.04 :    0.30
Trials MED:      2035.99 :  250.00:         8.14 :   86.10
Trials L95:      1516.13 :  250.00:         6.06 :   85.77
Trials U95:      2150.81 :  250.00:         8.60 :   86.37
Trials MIN:      1511.53 :  250.00:         6.05 :   85.68
Trials MAX:      2295.11 :  250.00:         9.18 :   86.58
