
Env Name:                     HalfCheetah-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  mppi
Num samples                   1500
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:      1649.26 :     250:         6.60 :  185.57
Trial    2:      2016.48 :     250:         8.07 :  183.09
Trial    3:      2181.42 :     250:         8.73 :  183.61
Trial    4:      2727.96 :     250:        10.91 :  176.24
Trial    5:      2145.11 :     250:         8.58 :  174.02
Trial    6:      2176.07 :     250:         8.70 :  171.21
Trial    7:      2078.81 :     250:         8.32 :  171.29
Trial    8:      2126.80 :     250:         8.51 :  183.16
Trial    9:      2711.50 :     250:        10.85 :  179.59
Trial   10:      2104.63 :     250:         8.42 :  180.09
-----------------------------------
Trials AVE:      2191.80 :  250.00:         8.77 :  178.79
Trials STD:       317.94 :    0.00:         1.27 :    5.29
Trials MED:      2135.95 :  250.00:         8.54 :  179.84
Trials L95:      2016.48 :  250.00:         8.07 :  171.29
Trials U95:      2711.50 :  250.00:        10.85 :  183.61
Trials MIN:      1649.26 :  250.00:         6.60 :  171.21
Trials MAX:      2727.96 :  250.00:        10.91 :  185.57
