
Env Name:                     HalfCheetah-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  cemppi
Num samples                   100
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
# AIS Iterations:             5
CE Elite Threshold:           0.80
CE Σ Est Method:              ss
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:      2541.68 :     250:        10.17 :  153.75
Trial    2:      2665.78 :     250:        10.66 :  154.27
Trial    3:      2786.75 :     250:        11.15 :  153.88
Trial    4:      2701.80 :     250:        10.81 :  153.56
Trial    5:      2457.11 :     250:         9.83 :  153.20
Trial    6:      2681.40 :     250:        10.73 :  155.12
Trial    7:      2821.20 :     250:        11.28 :  153.30
Trial    8:      2552.21 :     250:        10.21 :  154.00
Trial    9:      3470.84 :     250:        13.88 :  153.15
Trial   10:      3035.40 :     250:        12.14 :  154.45
-----------------------------------
Trials AVE:      2771.42 :  250.00:        11.09 :  153.87
Trials STD:       295.40 :    0.00:         1.18 :    0.62
Trials MED:      2691.60 :  250.00:        10.77 :  153.81
Trials L95:      2541.68 :  250.00:        10.17 :  153.20
Trials U95:      3035.40 :  250.00:        12.14 :  154.45
Trials MIN:      2457.11 :  250.00:         9.83 :  153.15
Trials MAX:      3470.84 :  250.00:        13.88 :  155.12
