
Env Name:                     HalfCheetah-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  mppi
Num samples                   1
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:      -191.92 :     250:        -0.77 :    7.65
Trial    2:       -51.07 :     250:        -0.20 :    8.10
Trial    3:       -76.51 :     250:        -0.31 :    7.63
Trial    4:       -56.67 :     250:        -0.23 :    7.57
Trial    5:      -138.99 :     250:        -0.56 :    7.65
Trial    6:       -20.32 :     250:        -0.08 :    7.73
Trial    7:       -76.14 :     250:        -0.30 :    7.69
Trial    8:       -69.78 :     250:        -0.28 :    7.62
Trial    9:       -99.88 :     250:        -0.40 :    7.61
Trial   10:        -5.60 :     250:        -0.02 :    7.64
-----------------------------------
Trials AVE:       -78.69 :  250.00:        -0.31 :    7.69
Trials STD:        54.77 :    0.00:         0.22 :    0.15
Trials MED:       -72.96 :  250.00:        -0.29 :    7.64
Trials L95:      -138.99 :  250.00:        -0.56 :    7.61
Trials U95:       -20.32 :  250.00:        -0.08 :    7.73
Trials MIN:      -191.92 :  250.00:        -0.77 :    7.57
Trials MAX:        -5.60 :  250.00:        -0.02 :    8.10
