
Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  mppi
Num samples                   1
Horizon                       50
λ (inverse temp):             0.50
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        -3.69 :     100:        -0.04 :    2.06
Trial    2:        -0.50 :     100:        -0.00 :    2.09
Trial    3:         6.68 :     100:         0.07 :    2.07
Trial    4:         0.69 :     100:         0.01 :    2.08
Trial    5:         2.92 :     100:         0.03 :    2.07
Trial    6:         1.42 :     100:         0.01 :    2.08
Trial    7:        -6.05 :     100:        -0.06 :    2.09
Trial    8:        -1.81 :     100:        -0.02 :    2.09
Trial    9:         2.54 :     100:         0.03 :    2.07
Trial   10:         7.48 :     100:         0.07 :    2.12
Trial   11:         2.82 :     100:         0.03 :    2.08
Trial   12:        -5.86 :     100:        -0.06 :    2.13
Trial   13:        -5.00 :     100:        -0.05 :    2.08
Trial   14:         4.89 :     100:         0.05 :    2.10
Trial   15:        -0.14 :     100:        -0.00 :    2.07
Trial   16:         3.56 :     100:         0.04 :    2.11
Trial   17:        -1.66 :     100:        -0.02 :    2.08
Trial   18:        11.06 :     100:         0.11 :    2.10
Trial   19:         4.56 :     100:         0.05 :    2.08
Trial   20:        -5.16 :     100:        -0.05 :    2.10
-----------------------------------
Trials AVE:         0.94 :  100.00:         0.01 :    2.09
Trials STD:         4.76 :    0.00:         0.05 :    0.02
Trials MED:         1.06 :  100.00:         0.01 :    2.08
Trials L95:        -1.81 :  100.00:        -0.02 :    2.08
Trials U95:         3.56 :  100.00:         0.04 :    2.10
Trials MIN:        -6.05 :  100.00:        -0.06 :    2.06
Trials MAX:        11.06 :  100.00:         0.11 :    2.13
